GEO_NAME,areatype,pop_size,division,region,commute,hh_chil,edu_hs,edu_coll,income,income2,no_car,female,age,senior,white,black,indian,asian,hawaiian,other,hispanic
"Asheville, NC  Metro Area",2,412671,9,4,20.8,24.4,86.5,28,41078,41.078,5.8,52.1,42.3,18.1,91.6,5.6,1.1,1.2,-999999999,2.7,5.3
"Ashtabula, OH  Micro Area",1,100767,4,2,24.6,26.6,84.4,11.2,39610,39.61,6.6,49.9,41,15.1,96.1,4.1,.6,-999999999,-999999999,-999999999,3.5
"Athens-Clarke County, GA  Metro Area",2,192222,9,4,20.1,29.4,82.3,34.1,38994,38.994,5.7,51.7,28.7,9.6,77.5,19.4,.9,2.5,-999999999,1.3,7.1
"Athens, TX  Micro Area",1,78921,5,3,31.8,26.2,76.9,14.8,42289,42.289,3.6,51.5,42.4,18.5,90.5,7.2,1.3,-999999999,-999999999,1.9,10.3
"Atlanta-Sandy Springs-Marietta, GA  Metro Area",2,5476664,9,4,30.1,34.2,86.9,34.1,55464,55.464,6.1,50.7,34.4,8.5,59.3,32.6,.7,4.7,.1,4.5,10
"Atlantic City-Hammonton, NJ  Metro Area",2,271712,5,3,24.2,28.8,85.1,23.1,52864,52.864,12.8,51.4,39.9,13.9,70.2,18.4,1.3,7.3,-999999999,6.4,15.3
"Auburn-Opelika, AL  Metro Area",2,135883,8,4,18.9,23,85,30.6,36925,36.925,4.9,50.2,27.1,8.7,73.9,24.3,.9,2.4,-999999999,.6,2.2
"Auburn, NY  Micro Area",1,79526,5,3,20.8,29.3,84,19.5,49543,49.543,8.9,49.9,40.8,15.1,93.8,5.2,.7,-999999999,-999999999,1.3,3
"Augusta-Richmond County, GA-SC  Metro Area",2,539652,9,4,23,31.7,84.4,22.8,42146,42.146,6.9,51.9,36.1,12.6,61.4,36,1,2.1,.1,1.4,3.2
"Augusta-Waterville, ME  Micro Area",1,121090,6,3,23.4,26,92.3,25.7,45007,45.007,8.3,51.3,42.6,15.4,98,.9,1.2,1.2,-999999999,-999999999,1.2
"Austin-Round Rock, TX  Metro Area",2,1705075,7,4,24.9,32.4,86.6,38.7,56218,56.218,4.5,49.2,32.5,7.9,75.7,8.2,1.2,5,0,12.2,30.7
"Bakersfield, CA  Metro Area",2,807407,1,1,23.6,40.7,71.5,13.8,47368,47.368,7.9,48.1,30.3,9,72.2,6.6,2.3,4.5,.2,18.1,47.9
"Baltimore-Towson, MD  Metro Area",2,2690886,9,4,29.7,29.5,88.1,34.7,65392,65.392,11.6,51.8,37.8,12.5,65.5,29.6,1,4.5,.1,1.6,3.7
"Bangor, ME  Metro Area",2,149419,6,3,22.4,27.7,90.1,24.4,39906,39.906,7.5,51.4,39,14.5,96.8,1.1,1.3,1.3,-999999999,.5,1.1
"Barnstable Town, MA  Metro Area",2,221151,6,3,24.9,20.9,94.5,39.6,57947,57.947,4.7,52.6,49.4,24.6,95.7,3.1,1,1.3,-999999999,1.5,1.9
"Baton Rouge, LA  Metro Area",2,786947,7,4,26,31.9,85.4,26.2,47814,47.814,7,50.9,33.4,10.6,62.4,35.9,.5,1.8,0,.7,2.9
"Battle Creek, MI  Metro Area",2,135616,4,2,18.4,28.4,87.9,19.6,38507,38.507,7,50.9,39.4,14.9,86.9,12,1.5,2,-999999999,.5,4.2
"Bay City, MI  Metro Area",2,107434,4,2,20.6,27.2,87.8,17.2,44029,44.029,7.5,51.2,41.1,16,96.8,2.1,1.3,.8,-999999999,2.1,4.4
"Beaumont-Port Arthur, TX  Metro Area",2,378477,7,4,20.1,32.7,83.1,16.4,43852,43.852,7.6,49.8,36.4,13,66.9,25.8,.7,2.4,-999999999,5.4,11.8
"Beaver Dam, WI  Micro Area",1,87335,4,2,22.1,30.5,86.6,14.6,49883,49.883,6,47.6,40.5,14,95.8,3.5,.8,.6,-999999999,.3,3.7
"Beckley, WV  Micro Area",1,79187,9,4,23.6,26,76.6,12.3,35170,35.17,12.5,50.2,40.3,15.5,90,8.8,1.2,.9,-999999999,-999999999,.6
"Bellingham, WA  Metro Area",2,200434,1,1,20.2,23.3,90.5,31.3,46490,46.49,7.3,50.7,36.1,12.9,90.7,1.5,3.4,4.9,.6,3.1,7.2
"Bend, OR  Metro Area",2,158629,1,1,17.7,28,93,28.8,52233,52.233,3.5,50.6,39.8,14.5,95.3,.8,1.9,1.6,.4,2.3,6.7
"Billings, MT  Metro Area",2,153854,2,1,18,26.4,90.7,27.6,46372,46.372,4.6,51.1,38.5,14.1,92,1.7,4.7,1.3,-999999999,3.5,5.3
